Delta,OOSB-R0.2,OOSD-R0.2,OOSB-R0.3,OOSD-R0.3
-0.300,#N/A,#N/A,1.000,1.000
-0.299,#N/A,#N/A,1.000,1.000
-0.298,#N/A,#N/A,1.000,0.999
-0.297,#N/A,#N/A,1.000,0.999
-0.296,#N/A,#N/A,1.000,0.999
-0.295,#N/A,#N/A,1.000,0.998
-0.294,#N/A,#N/A,1.000,0.998
-0.293,#N/A,#N/A,1.000,0.998
-0.292,#N/A,#N/A,1.000,0.997
-0.291,#N/A,#N/A,1.000,0.997
-0.290,#N/A,#N/A,1.000,0.997
-0.289,#N/A,#N/A,0.999,0.996
-0.288,#N/A,#N/A,0.999,0.996
-0.287,#N/A,#N/A,0.999,0.995
-0.286,#N/A,#N/A,0.999,0.995
-0.285,#N/A,#N/A,0.999,0.995
-0.284,#N/A,#N/A,0.999,0.994
-0.283,#N/A,#N/A,0.999,0.994
-0.282,#N/A,#N/A,0.999,0.994
-0.281,#N/A,#N/A,0.999,0.993
-0.280,#N/A,#N/A,0.999,0.993
-0.279,#N/A,#N/A,0.999,0.992
-0.278,#N/A,#N/A,0.999,0.992
-0.277,#N/A,#N/A,0.999,0.991
-0.276,#N/A,#N/A,0.999,0.991
-0.275,#N/A,#N/A,0.998,0.991
-0.274,#N/A,#N/A,0.998,0.990
-0.273,#N/A,#N/A,0.998,0.990
-0.272,#N/A,#N/A,0.998,0.989
-0.271,#N/A,#N/A,0.998,0.989
-0.270,#N/A,#N/A,0.998,0.988
-0.269,#N/A,#N/A,0.998,0.988
-0.268,#N/A,#N/A,0.997,0.987
-0.267,#N/A,#N/A,0.997,0.987
-0.266,#N/A,#N/A,0.997,0.986
-0.265,#N/A,#N/A,0.997,0.986
-0.264,#N/A,#N/A,0.997,0.985
-0.263,#N/A,#N/A,0.997,0.985
-0.262,#N/A,#N/A,0.996,0.984
-0.261,#N/A,#N/A,0.996,0.984
-0.260,#N/A,#N/A,0.996,0.983
-0.259,#N/A,#N/A,0.996,0.983
-0.258,#N/A,#N/A,0.996,0.982
-0.257,#N/A,#N/A,0.995,0.981
-0.256,#N/A,#N/A,0.995,0.981
-0.255,#N/A,#N/A,0.995,0.980
-0.254,#N/A,#N/A,0.995,0.980
-0.253,#N/A,#N/A,0.994,0.979
-0.252,#N/A,#N/A,0.994,0.978
-0.251,#N/A,#N/A,0.994,0.978
-0.250,#N/A,#N/A,0.993,0.977
-0.249,#N/A,#N/A,0.993,0.976
-0.248,#N/A,#N/A,0.993,0.976
-0.247,#N/A,#N/A,0.992,0.975
-0.246,#N/A,#N/A,0.992,0.974
-0.245,#N/A,#N/A,0.992,0.973
-0.244,#N/A,#N/A,0.991,0.973
-0.243,#N/A,#N/A,0.991,0.972
-0.242,#N/A,#N/A,0.991,0.971
-0.241,#N/A,#N/A,0.990,0.970
-0.240,#N/A,#N/A,0.990,0.970
-0.239,#N/A,#N/A,0.989,0.969
-0.238,#N/A,#N/A,0.989,0.968
-0.237,#N/A,#N/A,0.988,0.967
-0.236,#N/A,#N/A,0.988,0.966
-0.235,#N/A,#N/A,0.987,0.965
-0.234,#N/A,#N/A,0.987,0.965
-0.233,#N/A,#N/A,0.986,0.964
-0.232,#N/A,#N/A,0.986,0.963
-0.231,#N/A,#N/A,0.985,0.962
-0.230,#N/A,#N/A,0.985,0.961
-0.229,#N/A,#N/A,0.984,0.960
-0.228,#N/A,#N/A,0.983,0.959
-0.227,#N/A,#N/A,0.983,0.958
-0.226,#N/A,#N/A,0.982,0.957
-0.225,#N/A,#N/A,0.982,0.956
-0.224,#N/A,#N/A,0.981,0.955
-0.223,#N/A,#N/A,0.980,0.954
-0.222,#N/A,#N/A,0.980,0.953
-0.221,#N/A,#N/A,0.979,0.952
-0.220,#N/A,#N/A,0.978,0.951
-0.219,#N/A,#N/A,0.977,0.950
-0.218,#N/A,#N/A,0.977,0.949
-0.217,#N/A,#N/A,0.976,0.948
-0.216,#N/A,#N/A,0.975,0.946
-0.215,#N/A,#N/A,0.974,0.945
-0.214,#N/A,#N/A,0.973,0.944
-0.213,#N/A,#N/A,0.972,0.943
-0.212,#N/A,#N/A,0.972,0.942
-0.211,#N/A,#N/A,0.971,0.940
-0.210,#N/A,#N/A,0.970,0.939
-0.209,#N/A,#N/A,0.969,0.938
-0.208,#N/A,#N/A,0.968,0.937
-0.207,#N/A,#N/A,0.967,0.935
-0.206,#N/A,#N/A,0.966,0.934
-0.205,#N/A,#N/A,0.965,0.933
-0.204,#N/A,#N/A,0.964,0.931
-0.203,#N/A,#N/A,0.963,0.930
-0.202,#N/A,#N/A,0.962,0.928
-0.201,#N/A,#N/A,0.961,0.927
-0.200,1.000,1.000,0.959,0.926
-0.199,1.000,0.999,0.958,0.924
-0.198,0.999,0.998,0.957,0.923
-0.197,0.999,0.997,0.956,0.921
-0.196,0.998,0.996,0.955,0.920
-0.195,0.998,0.995,0.954,0.918
-0.194,0.998,0.994,0.952,0.916
-0.193,0.997,0.993,0.951,0.915
-0.192,0.997,0.992,0.950,0.913
-0.191,0.996,0.991,0.948,0.912
-0.190,0.996,0.989,0.947,0.910
-0.189,0.995,0.988,0.946,0.908
-0.188,0.994,0.987,0.944,0.907
-0.187,0.994,0.986,0.943,0.905
-0.186,0.993,0.985,0.941,0.903
-0.185,0.992,0.983,0.940,0.901
-0.184,0.992,0.982,0.938,0.900
-0.183,0.991,0.981,0.937,0.898
-0.182,0.990,0.979,0.935,0.896
-0.181,0.990,0.978,0.934,0.894
-0.180,0.989,0.977,0.932,0.892
-0.179,0.988,0.975,0.930,0.890
-0.178,0.987,0.974,0.929,0.888
-0.177,0.986,0.972,0.927,0.886
-0.176,0.985,0.971,0.925,0.884
-0.175,0.984,0.969,0.924,0.882
-0.174,0.983,0.967,0.922,0.880
-0.173,0.982,0.966,0.920,0.878
-0.172,0.981,0.964,0.918,0.876
-0.171,0.980,0.962,0.916,0.874
-0.170,0.979,0.961,0.915,0.872
-0.169,0.978,0.959,0.913,0.870
-0.168,0.977,0.957,0.911,0.868
-0.167,0.976,0.955,0.909,0.866
-0.166,0.974,0.954,0.907,0.863
-0.165,0.973,0.952,0.905,0.861
-0.164,0.972,0.950,0.903,0.859
-0.163,0.971,0.948,0.901,0.857
-0.162,0.969,0.946,0.898,0.854
-0.161,0.968,0.944,0.896,0.852
-0.160,0.966,0.942,0.894,0.849
-0.159,0.965,0.940,0.892,0.847
-0.158,0.963,0.938,0.890,0.845
-0.157,0.962,0.936,0.887,0.842
-0.156,0.960,0.934,0.885,0.840
-0.155,0.959,0.931,0.883,0.837
-0.154,0.957,0.929,0.880,0.835
-0.153,0.955,0.927,0.878,0.832
-0.152,0.954,0.925,0.876,0.829
-0.151,0.952,0.922,0.873,0.827
-0.150,0.950,0.920,0.871,0.824
-0.149,0.948,0.918,0.868,0.821
-0.148,0.946,0.915,0.866,0.819
-0.147,0.944,0.913,0.863,0.816
-0.146,0.942,0.910,0.860,0.813
-0.145,0.940,0.908,0.858,0.810
-0.144,0.938,0.905,0.855,0.807
-0.143,0.936,0.902,0.852,0.805
-0.142,0.934,0.900,0.850,0.802
-0.141,0.932,0.897,0.847,0.799
-0.140,0.930,0.894,0.844,0.796
-0.139,0.927,0.891,0.841,0.793
-0.138,0.925,0.889,0.838,0.790
-0.137,0.923,0.886,0.835,0.787
-0.136,0.920,0.883,0.832,0.784
-0.135,0.918,0.880,0.829,0.781
-0.134,0.915,0.877,0.826,0.777
